local connected
0.00-1.00 6.19
1.00-2.00 52.5
2.00-3.00 15.9
3.00-4.00 157
4.00-5.00 124
5.00-6.00 13.4
6.00-7.00 115
7.00-8.00 66.4
8.00-9.00 116
9.00-10.00 26.3
10.00-11.00 33.4
11.00-12.00 10.3
12.00-13.00 37.1
13.00-14.00 13.9
14.00-15.00 76.7
15.00-16.00 63.3
16.00-17.00 161
17.00-18.00 12.9
18.00-19.00 33.3
19.00-20.00 45.9
0.00-20.00 59.0
0.00-20.00 58.6
