local connected
0.00-1.00 1.39
1.00-2.00 1.25
2.00-3.00 1.27
3.00-4.00 1.26
4.00-5.00 1.30
5.00-6.00 1.29
6.00-7.00 1.24
7.00-8.00 1.30
8.00-9.00 1.28
9.00-10.00 1.33
10.00-11.00 1.25
11.00-12.00 1.27
12.00-13.00 978
13.00-14.00 1.30
14.00-15.00 1.37
15.00-16.00 1.30
16.00-17.00 1.26
17.00-18.00 1.10
18.00-19.00 1.24
19.00-20.00 1.33
0.00-20.00 1.27
0.00-20.00 1.26
