local connected
0.00-1.00 1.08
1.00-2.00 988
2.00-3.00 977
3.00-4.00 950
4.00-5.00 1.13
5.00-6.00 984
6.00-7.00 1.01
7.00-8.00 1.11
8.00-9.00 1.04
9.00-10.00 1.03
10.00-11.00 992
11.00-12.00 1.00
12.00-13.00 1.05
13.00-14.00 1.11
14.00-15.00 1.13
15.00-16.00 855
16.00-17.00 834
17.00-18.00 958
18.00-19.00 818
19.00-20.00 841
0.00-20.00 994
0.00-20.00 993
