local connected
0.00-1.00 191
1.00-2.00 121
2.00-3.00 288
3.00-4.00 138
4.00-5.00 176
5.00-6.00 219
6.00-7.00 203
7.00-8.00 155
8.00-9.00 133
9.00-10.00 247
10.00-11.00 99.8
11.00-12.00 242
12.00-13.00 284
13.00-14.00 125
14.00-15.00 141
15.00-16.00 136
16.00-17.00 44.8
17.00-18.00 200
18.00-19.00 110
19.00-20.00 169
0.00-20.00 171
0.00-20.00 170
