local connected
0.00-1.00 894
1.00-2.00 929
2.00-3.00 988
3.00-4.00 969
4.00-5.00 883
5.00-6.00 939
6.00-7.00 1.06
7.00-8.00 1000
8.00-9.00 967
9.00-10.00 902
10.00-11.00 898
11.00-12.00 921
12.00-13.00 1.02
13.00-14.00 970
14.00-15.00 911
15.00-16.00 919
16.00-17.00 987
17.00-18.00 1.01
18.00-19.00 993
19.00-20.00 1.02
0.00-20.00 959
0.00-20.00 958
