local connected
0.00-1.00 117
1.00-2.00 294
2.00-3.00 161
3.00-4.00 127
4.00-5.00 217
5.00-6.00 198
6.00-7.00 130
7.00-8.00 107
8.00-9.00 110
9.00-10.00 44.3
10.00-11.00 90.0
11.00-12.00 76.7
12.00-13.00 172
13.00-14.00 90.0
14.00-15.00 175
15.00-16.00 36.0
16.00-17.00 123
17.00-18.00 89.0
18.00-19.00 104
19.00-20.00 75.6
0.00-20.00 127
0.00-20.00 126
