local connected
0.00-1.00 194
1.00-2.00 271
2.00-3.00 221
3.00-4.00 212
4.00-5.00 232
5.00-6.00 207
6.00-7.00 226
7.00-8.00 280
8.00-9.00 200
9.00-10.00 154
10.00-11.00 108
11.00-12.00 180
12.00-13.00 66.4
13.00-14.00 20.6
14.00-15.00 43.7
15.00-16.00 38.6
16.00-17.00 25.7
17.00-18.00 55.6
18.00-19.00 72.0
19.00-20.00 31.9
0.00-20.00 142
0.00-20.00 141
