Pod Name,Container Name,Timestamp,CPU Usage (millicores),Memory Usage (bytes)
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:14:37,0,124584Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:14:37,0,198104Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:14:38,.017,119584Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:14:38,0,213920Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:14:38,.392,131620Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:14:40,0,124584Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:14:40,0,198104Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:14:40,0,119580Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:14:41,3.786,214252Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:14:41,.392,131620Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:14:43,0,124584Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:14:43,0,198104Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:14:43,0,119580Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:14:44,3.786,214252Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:14:44,.392,131620Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:14:46,0,124584Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:14:46,0,198104Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:14:46,0,119580Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:14:47,3.786,214252Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:14:47,.392,131620Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:14:49,0,124584Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:14:49,0,198104Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:14:49,0,119580Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:14:49,3.786,214252Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:14:50,.392,131620Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:14:52,0,124584Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:14:52,0,198104Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:14:52,0,119580Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:14:52,3.786,214252Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:14:53,.392,131620Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:14:55,0,124584Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:14:55,57.280,198596Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:14:55,31.648,119768Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:14:55,39.700,214440Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:14:55,18.596,131800Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:14:58,38.057,124664Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:14:58,57.280,198596Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:14:58,31.648,119768Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:14:58,39.700,214440Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:14:58,18.596,131800Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:15:01,38.057,124664Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:15:01,57.280,198596Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:15:01,31.648,119768Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:15:01,39.700,214440Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:15:01,18.596,131800Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:15:03,38.057,124664Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:15:04,57.280,198596Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:15:04,31.648,119768Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:15:04,39.700,214440Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:15:04,18.596,131800Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:15:06,38.057,124664Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:15:07,57.280,198596Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:15:07,31.648,119768Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:15:07,39.700,214440Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:15:07,18.596,131800Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:15:09,38.057,124664Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:15:10,57.280,198596Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:15:10,31.648,119768Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:15:10,39.700,214440Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:15:10,85.523,132108Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:15:12,75.109,124824Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:15:13,57.280,198596Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:15:13,54.802,121136Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:15:13,39.700,214440Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:15:13,85.523,132108Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:15:15,75.109,124824Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:15:15,57.280,198596Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:15:16,54.802,121136Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:15:16,39.700,214440Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:15:16,85.523,132108Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:15:18,75.109,124824Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:15:18,57.280,198596Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:15:19,54.802,121136Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:15:19,39.700,214440Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:15:19,85.523,132108Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:15:21,75.109,124824Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:15:21,57.280,198596Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:15:21,54.802,121136Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:15:22,39.700,214440Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:15:22,85.523,132108Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:15:24,75.109,124824Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:15:24,57.280,198596Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:15:24,54.802,121136Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:15:25,39.700,214440Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:15:25,85.523,132108Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:15:27,77.266,125128Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:15:27,56.756,199076Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:15:27,68.157,123040Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:15:28,53.688,220524Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:15:28,100.778,140292Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:15:30,77.266,125128Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:15:30,56.756,199076Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:15:30,68.157,123040Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:15:30,53.688,220524Ki
