Pod Name,Container Name,Timestamp,CPU Usage (millicores),Memory Usage (bytes)
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:09:58,26.048,161064Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:09:59,27.281,99908Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:09:59,21.017,181972Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:09:59,94.651,108692Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:10:01,39.807,97504Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:10:01,26.048,161064Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:10:01,27.281,99908Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:10:02,21.017,181972Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:10:02,94.651,108692Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:10:04,39.807,97504Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:10:04,26.048,161064Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:10:04,27.281,99908Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:10:05,21.017,181972Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:10:05,94.651,108692Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:10:07,39.807,97504Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:10:07,26.048,161064Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:10:07,27.281,99908Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:10:07,21.017,181972Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:10:07,94.651,108692Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:10:10,39.807,97504Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:10:10,51.138,168252Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:10:10,26.875,99480Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:10:10,22.596,182232Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:10:10,46.087,108812Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:10:12,44.849,101796Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:10:13,51.138,168252Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 14:10:13,26.875,99480Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 14:10:13,22.596,182232Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 14:10:13,46.087,108812Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 14:10:15,44.849,101796Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 14:10:16,51.138,168252Ki
