Pod Name,Container Name,Timestamp,CPU Usage (millicores),Memory Usage (bytes)
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 13:51:48,0,6220Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 13:51:48,0,6420Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 13:51:48,0,6452Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 13:51:48,0,6208Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 13:51:49,.430,7820Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 13:51:51,0,6220Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 13:51:51,0,6420Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 13:51:51,0,6452Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 13:51:51,0,6208Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 13:51:51,.430,7820Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 13:51:54,0,6220Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 13:51:54,0,6420Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 13:51:54,0,6452Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 13:51:54,0,6208Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 13:51:54,.430,7820Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 13:51:57,0,6220Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 13:51:57,6.822,8612Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 13:51:57,0,6452Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 13:51:57,0,6208Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 13:51:57,.317,7864Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 13:51:59,0,6220Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 13:52:00,6.822,8612Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 13:52:00,0,6452Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 13:52:00,0,6208Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 13:52:00,.317,7864Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 13:52:02,0,6220Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 13:52:02,6.822,8612Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 13:52:03,0,6452Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 13:52:03,0,6208Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 13:52:03,.317,7864Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 13:52:05,0,6220Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 13:52:05,6.822,8612Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 13:52:05,0,6452Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 13:52:06,0,6208Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 13:52:06,.317,7864Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 13:52:08,0,6220Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 13:52:08,6.822,8612Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 13:52:08,0,6452Ki
oai-amf10-54d4698cb4-69vcc,proxy,2024-06-07 13:52:08,0,6208Ki
oai-smf10-6fcdbd788d-ffxs7,proxy,2024-06-07 13:52:09,.317,7864Ki
oai-udr10-55dfb7cb7d-n6xhf,proxy,2024-06-07 13:52:11,27.579,8452Ki
oai-udm10-79cb747b85-8js4g,proxy,2024-06-07 13:52:11,25.666,9528Ki
oai-ausf10-595d745bf6-rtdwl,proxy,2024-06-07 13:52:11,20.231,7988Ki
