Timestamp,Response Time (ms),Success
2024-06-16T02:09:52,4338.86,1
2024-06-16T02:09:53,3026.67,1
2024-06-16T02:09:55,1078.39,1
2024-06-16T02:09:55,1434.54,1
2024-06-16T02:09:52,3612.65,1
2024-06-16T02:09:54,2466.23,1
2024-06-16T02:09:51,5194.45,1
2024-06-16T02:09:54,2138.77,1
2024-06-16T02:09:52,4416.07,1
2024-06-16T02:09:51,5114.52,1
2024-06-16T02:09:54,2050.86,1
2024-06-16T02:09:54,3780.76,1
2024-06-16T02:09:53,13416.7,1
2024-06-16T02:09:55,10868,1
2024-06-16T02:09:57,8997.18,1
2024-06-16T02:09:58,8304.41,1
2024-06-16T02:09:57,9745.31,1
2024-06-16T02:09:59,6986.91,1
2024-06-16T02:10:00,6296.08,1
2024-06-16T02:09:56,10303.5,1
2024-06-16T02:10:00,5997.62,1
2024-06-16T02:10:00,6600.13,1
2024-06-16T02:09:56,9825.24,1
2024-06-16T02:09:59,7366.7,1
2024-06-16T02:09:58,8132.16,1
2024-06-16T02:09:57,8894.1,1
2024-06-16T02:09:51,15464,1
2024-06-16T02:09:58,7984.24,1
2024-06-16T02:10:01,5307.1,1
2024-06-16T02:10:02,4140.26,1
2024-06-16T02:09:59,7279.56,1
2024-06-16T02:10:04,2364.72,1
2024-06-16T02:10:03,3178.98,1
2024-06-16T02:09:56,10433,1
2024-06-16T02:10:03,3844.13,1
2024-06-16T02:10:05,975.059,1
2024-06-16T02:10:06,462.281,1
2024-06-16T02:09:57,8948.21,1
2024-06-16T02:10:06,744.025,1
2024-06-16T02:10:06,466.261,1
2024-06-16T02:10:03,3858.05,1
2024-06-16T02:10:05,1987.95,1
2024-06-16T02:10:04,2379.57,1
2024-06-16T02:10:01,5983.5,1
2024-06-16T02:10:02,10246.3,1
2024-06-16T02:10:01,10469.9,1
2024-06-16T02:09:53,18862.7,1
2024-06-16T02:10:07,5291.56,1
2024-06-16T02:10:07,5306.13,1
2024-06-16T02:10:07,4818.65,1
2024-06-16T02:10:04,8375.53,1
2024-06-16T02:10:00,11828.3,1
2024-06-16T02:10:08,4581.82,1
2024-06-16T02:10:07,5246.7,1
2024-06-16T02:10:09,3326.47,1
2024-06-16T02:10:12,471.062,1
2024-06-16T02:10:12,1262.83,1
2024-06-16T02:10:10,2494.43,1
2024-06-16T02:10:09,3854.98,1
2024-06-16T02:10:11,1851.85,1
2024-06-16T02:10:11,2123.46,1
2024-06-16T02:10:13,587.524,1
2024-06-16T02:10:10,2460.15,1
2024-06-16T02:10:12,962.824,1
2024-06-16T02:10:08,4596.16,1
2024-06-16T02:10:10,3579.17,1
2024-06-16T02:10:02,11045.8,1
2024-06-16T02:10:10,3343.27,1
2024-06-16T02:10:13,303.53,1
2024-06-16T02:10:08,5873,1
2024-06-16T02:10:03,10152.6,1
2024-06-16T02:10:13,591.556,1
2024-06-16T02:10:13,1268.34,1
2024-06-16T02:10:14,3300.98,1
2024-06-16T02:10:15,4756.27,1
2024-06-16T02:10:09,10782.4,1
2024-06-16T02:10:18,1374.48,1
2024-06-16T02:10:17,2118.19,1
2024-06-16T02:10:19,555.396,1
2024-06-16T02:10:19,774.64,1
2024-06-16T02:10:16,3207.04,1
2024-06-16T02:10:17,2317.37,1
2024-06-16T02:10:15,4081.98,1
2024-06-16T02:10:14,10391.4,1
2024-06-16T02:10:14,10281,1
2024-06-16T02:10:16,7934.64,1
2024-06-16T02:10:15,9645.42,1
2024-06-16T02:10:23,1592.27,1
2024-06-16T02:10:22,2524.7,1
2024-06-16T02:10:20,5085.81,1
2024-06-16T02:10:21,3558.08,1
2024-06-16T02:10:18,6397.8,1
2024-06-16T02:10:18,6808,1
2024-06-16T02:10:20,4041.77,1
2024-06-16T02:10:16,9048.08,1
2024-06-16T02:10:23,1496.13,1
2024-06-16T02:10:16,9061.87,1
2024-06-16T02:10:11,13015,1
2024-06-16T02:10:24,893.877,1
2024-06-16T02:10:22,2587.72,1
2024-06-16T02:10:05,19655.3,1
2024-06-16T02:10:24,604.76,1
2024-06-16T02:10:21,4088.06,1
2024-06-16T02:10:19,5448.2,1
2024-06-16T02:10:26,3268.27,1
2024-06-16T02:10:28,1460.32,1
2024-06-16T02:10:29,1092.68,1
2024-06-16T02:10:22,8028.2,1
2024-06-16T02:10:27,2525.11,1
2024-06-16T02:10:23,6052.42,1
2024-06-16T02:10:28,2284.44,1
2024-06-16T02:10:22,17191.6,1
2024-06-16T02:10:36,4402.76,1
