local connected
0.00-1.00 81.7
1.00-2.00 281
2.00-3.00 85.4
3.00-4.00 216
4.00-5.00 90.0
5.00-6.00 331
6.00-7.00 289
7.00-8.00 207
8.00-9.00 286
9.00-10.00 175
10.00-11.00 109
11.00-12.00 165
12.00-13.00 174
13.00-14.00 187
14.00-15.00 189
15.00-16.00 170
16.00-17.00 186
17.00-18.00 58.7
18.00-19.00 138
19.00-20.00 131
0.00-20.00 177
0.00-20.00 177
