local connected
0.00-1.00 199
1.00-2.00 283
2.00-3.00 248
3.00-4.00 197
4.00-5.00 162
5.00-6.00 129
6.00-7.00 4.63
7.00-8.00 75.1
8.00-9.00 119
9.00-10.00 279
10.00-11.00 206
11.00-12.00 169
12.00-13.00 122
13.00-14.00 240
14.00-15.00 160
15.00-16.00 271
16.00-17.00 145
17.00-18.00 236
18.00-19.00 212
19.00-20.00 134
0.00-20.00 180
0.00-20.00 179
