local connected
0.00-1.00 109
1.00-2.00 233
2.00-3.00 161
3.00-4.00 202
4.00-5.00 142
5.00-6.00 153
6.00-7.00 197
7.00-8.00 138
8.00-9.00 258
9.00-10.00 58.1
10.00-11.00 129
11.00-12.00 108
12.00-13.00 229
13.00-14.00 206
14.00-15.00 113
15.00-16.00 81.8
16.00-17.00 111
17.00-18.00 153
18.00-19.00 220
19.00-20.00 84.4
0.00-20.00 154
0.00-20.00 154
