local connected
0.00-1.00 199
1.00-2.00 304
2.00-3.00 227
3.00-4.00 201
4.00-5.00 146
5.00-6.00 141
6.00-7.00 250
7.00-8.00 187
8.00-9.00 224
9.00-10.00 136
10.00-11.00 240
11.00-12.00 185
12.00-13.00 136
13.00-14.00 255
14.00-15.00 190
15.00-16.00 168
16.00-17.00 192
17.00-18.00 137
18.00-19.00 214
19.00-20.00 234
0.00-20.00 198
0.00-20.00 198
