Pod Name,Container Name,Timestamp,CPU Usage (millicores),Memory Usage (bytes)
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 13:16:29,87.834,643384Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 13:16:29,0,1191496Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 13:16:30,95.178,759084Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 13:16:30,0,1747876Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 13:16:30,.320,682300Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 13:16:32,87.834,643384Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 13:16:32,0,1191496Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 13:16:32,95.178,759084Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 13:16:33,0,1747876Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 13:16:33,.320,682300Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 13:16:35,87.834,643384Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 13:16:35,0,1191496Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 13:16:35,95.178,759084Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 13:16:35,0,1747876Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 13:16:36,.320,682300Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 13:16:38,87.834,643384Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 13:16:38,0,1191496Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 13:16:38,95.178,759084Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 13:16:38,0,1747876Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 13:16:38,.320,682300Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 13:16:41,0,643256Ki
