Pod Name,Container Name,Timestamp,CPU Usage (millicores),Memory Usage (bytes)
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 13:04:43,0,570872Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 13:04:43,0,1060812Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 13:04:43,0,675280Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 13:04:44,0,1552012Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 13:04:44,.370,605560Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 13:04:46,0,570872Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 13:04:46,0,1060812Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 13:04:46,0,675280Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 13:04:47,0,1552012Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 13:04:47,.370,605560Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 13:04:49,0,570872Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 13:04:49,0,1060812Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 13:04:49,0,675280Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 13:04:49,0,1552012Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 13:04:50,.370,605560Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 13:04:52,0,570872Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 13:04:52,0,1060812Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 13:04:52,0,675280Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 13:04:52,0,1552012Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 13:04:53,.370,605560Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 13:04:55,0,570872Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 13:04:55,41.148,1061096Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 13:04:55,20.311,675380Ki
