Pod Name,Container Name,Timestamp,CPU Usage (millicores),Memory Usage (bytes)
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:38:07,0,515336Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:38:07,0,955040Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:38:07,0,608568Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:38:07,0,1397688Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:38:08,.628,543680Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:38:10,0,515336Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:38:10,0,955040Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:38:10,1.847,608552Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:38:10,0,1397688Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:38:10,.206,543560Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:38:12,0,515336Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:38:13,0,955040Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:38:13,1.847,608552Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:38:13,0,1397688Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:38:13,.206,543560Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:38:15,0,515336Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:38:16,0,955040Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:38:16,1.847,608552Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:38:16,0,1397688Ki
oai-smf10-58bb99fd8-f8mkm,proxy,2024-06-07 12:38:16,.206,543560Ki
oai-udr10-5d4764fddb-pvn6s,proxy,2024-06-07 12:38:18,0,515336Ki
oai-udm10-9b674b8d5-tvnr5,proxy,2024-06-07 12:38:18,0,955040Ki
oai-ausf10-6ccbff8f8d-z6s98,proxy,2024-06-07 12:38:19,1.847,608552Ki
oai-amf10-5c49dfb85b-qzg5h,proxy,2024-06-07 12:38:19,0,1397688Ki
