Pod Name,Container Name,Timestamp,CPU Usage (millicores),Memory Usage (bytes)
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:03:47,51.035,122196Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:03:47,73.882,208856Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:03:47,56.677,145340Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:03:47,109.233,292852Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:03:48,54.003,139836Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:03:50,51.035,122196Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:03:50,73.882,208856Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:03:50,56.677,145340Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:03:50,109.233,292852Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:03:50,54.003,139836Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:03:53,51.035,122196Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:03:53,73.882,208856Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:03:53,56.677,145340Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:03:53,109.233,292852Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:03:53,54.003,139836Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:03:56,69.627,125740Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:03:56,75.970,208844Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:03:56,71.399,145828Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:03:56,97.786,292852Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:03:56,55.675,139716Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:03:58,69.627,125740Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:03:59,75.970,208844Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:03:59,71.399,145828Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:03:59,97.786,292852Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:03:59,55.675,139716Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:04:01,69.627,125740Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:04:01,75.970,208844Ki
