Pod Name,Container Name,Timestamp,CPU Usage (millicores),Memory Usage (bytes)
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:20,95.929,269488Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:20,148.747,459532Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:21,104.431,303452Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:21,198.260,635064Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:21,101.600,294696Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:23,95.929,269488Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:23,148.747,459532Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:24,104.431,303452Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:24,198.260,635064Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:24,101.600,294696Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:26,97.842,269252Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:26,148.747,459532Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:27,104.205,303460Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:27,208.313,634920Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:27,101.600,294696Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:29,97.842,269252Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:29,148.747,459532Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:30,104.205,303460Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:30,208.313,634920Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:30,101.600,294696Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:32,97.842,269252Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:32,148.747,459532Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:33,104.205,303460Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:33,208.313,634920Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:33,101.600,294696Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:35,97.842,269252Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:35,148.747,459532Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:35,104.205,303460Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:36,208.313,634920Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:36,101.600,294696Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:38,97.842,269252Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:38,148.747,459532Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:38,104.205,303460Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:39,208.313,634920Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:39,101.600,294696Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:41,171.308,269272Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:41,181.836,459756Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:41,165.452,304156Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:41,254.659,635436Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:42,169.328,296500Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:44,171.308,269272Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:44,181.836,459756Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:44,165.452,304156Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:44,254.659,635436Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:45,169.328,296500Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:47,171.308,269272Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:47,181.836,459756Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:47,165.452,304156Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:47,254.659,635436Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:48,169.328,296500Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:50,171.308,269272Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:50,181.836,459756Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:50,165.452,304156Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:50,254.659,635436Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:51,169.328,296500Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:53,171.308,269272Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:53,181.836,459756Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:53,165.452,304156Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:53,254.659,635436Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:54,169.328,296500Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:56,172.598,269384Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:56,287.509,460464Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:56,166.691,303988Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:56,256.020,637536Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:56,192.615,296528Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:16:59,172.598,269384Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:16:59,287.509,460464Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:16:59,166.691,303988Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:16:59,256.020,637536Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:16:59,192.615,296528Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:17:02,172.598,269384Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:17:02,287.509,460464Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:17:02,166.691,303988Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:17:02,256.020,637536Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:17:02,192.615,296528Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:17:05,172.598,269384Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:17:05,287.509,460464Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:17:05,166.691,303988Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:17:05,256.020,637536Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:17:05,192.615,296528Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:17:07,172.598,269384Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:17:08,287.509,460464Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:17:08,166.691,303988Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:17:08,256.020,637536Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:17:08,192.615,296528Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:17:10,171.785,269688Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:17:11,217.540,461868Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:17:11,204.863,314016Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:17:11,344.155,654172Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:17:11,190.878,296776Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:17:14,171.785,269688Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:17:14,217.540,461868Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:17:14,204.863,314016Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:17:14,344.155,654172Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:17:14,190.878,296776Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:17:16,171.785,269688Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:17:17,217.540,461868Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:17:17,204.863,314016Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:17:17,344.155,654172Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:17:17,190.878,296776Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:17:19,171.785,269688Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:17:19,217.540,461868Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:17:20,204.863,314016Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:17:20,344.155,654172Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:17:20,190.878,296776Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:17:22,171.785,269688Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:17:22,217.540,461868Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:17:22,204.863,314016Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:17:23,344.155,654172Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:17:23,190.878,296776Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:17:25,179.080,277340Ki
