Pod Name,Container Name,Timestamp,CPU Usage (millicores),Memory Usage (bytes)
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:06,143.055,514916Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:06,228.701,885256Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:06,184.042,580396Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:06,301.381,1237472Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:06,161.164,556128Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:08,143.055,514916Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:09,228.701,885256Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:09,184.042,580396Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:09,301.381,1237472Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:09,161.164,556128Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:11,143.055,514916Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:11,228.701,885256Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:12,182.051,580200Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:12,397.130,1237712Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:12,163.157,555888Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:14,143.055,514916Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:14,228.701,885256Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:14,182.051,580200Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:15,397.130,1237712Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:15,163.157,555888Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:17,143.055,514916Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:17,228.701,885256Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:17,182.051,580200Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:17,397.130,1237712Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:18,163.157,555888Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:20,143.055,514916Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:20,228.701,885256Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:20,182.051,580200Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:20,397.130,1237712Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:20,163.157,555888Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:23,143.055,514916Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:23,228.701,885256Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:23,182.051,580200Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:23,397.130,1237712Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:23,163.157,555888Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:25,209.545,514856Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:26,267.303,885320Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:26,405.005,582032Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:26,443.574,1239580Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:26,390.493,555924Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:28,209.545,514856Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:29,267.303,885320Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:29,405.005,582032Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:29,443.574,1239580Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:29,390.493,555924Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:31,209.545,514856Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:31,267.303,885320Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:32,405.005,582032Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:32,443.574,1239580Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:32,390.493,555924Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:34,209.545,514856Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:34,267.303,885320Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:34,405.005,582032Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:35,443.574,1239580Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:35,390.493,555924Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:37,209.545,514856Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:37,267.303,885320Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:37,405.005,582032Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:37,443.574,1239580Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:38,390.493,555924Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:40,209.545,514856Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:40,400.119,893908Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:40,405.005,582032Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:40,447.005,1273804Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:40,382.412,556832Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:43,389.989,550136Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:43,400.119,893908Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:43,405.005,582032Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 15:29:43,447.005,1273804Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 15:29:43,382.412,556832Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 15:29:45,389.989,550136Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 15:29:46,400.119,893908Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 15:29:46,405.005,582032Ki
