Pod Name,Container Name,Timestamp,CPU Usage (millicores),Memory Usage (bytes)
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 14:52:49,.505,7308Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 14:52:49,.712,8772Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 14:52:49,.471,7896Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 14:52:49,1.241,8704Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 14:52:49,3.056,13392Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 14:52:51,.505,7308Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 14:52:52,.712,8772Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 14:52:52,.471,7896Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 14:52:52,1.241,8704Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 14:52:52,3.056,13392Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 14:52:54,.505,7308Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 14:52:54,.712,8772Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 14:52:55,.471,7896Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 14:52:55,1.241,8704Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 14:52:55,3.144,13512Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 14:52:57,.472,7436Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 14:52:57,.991,8772Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 14:52:57,.434,7896Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 14:52:58,.808,8832Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 14:52:58,3.144,13512Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 14:53:00,.472,7436Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 14:53:00,.991,8772Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 14:53:00,.434,7896Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 14:53:00,.808,8832Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 14:53:01,3.144,13512Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 14:53:03,.472,7436Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 14:53:03,.991,8772Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 14:53:03,.434,7896Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 14:53:03,.808,8832Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 14:53:03,3.144,13512Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 14:53:06,.472,7436Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 14:53:06,.991,8772Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 14:53:06,.434,7896Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 14:53:06,.808,8832Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 14:53:06,3.144,13512Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 14:53:08,.472,7436Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 14:53:09,.991,8772Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 14:53:09,.434,7896Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 14:53:09,.808,8832Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 14:53:09,3.144,13512Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 14:53:11,25.180,10068Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 14:53:11,37.593,13760Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 14:53:12,16.287,10436Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 14:53:12,26.866,14972Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 14:53:12,42.024,17656Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 14:53:14,25.180,10068Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 14:53:14,37.593,13760Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 14:53:14,16.287,10436Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 14:53:14,26.866,14972Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 14:53:15,42.024,17656Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 14:53:17,25.180,10068Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 14:53:17,37.593,13760Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 14:53:17,16.287,10436Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 14:53:17,26.866,14972Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 14:53:17,42.024,17656Ki
oai-udr10-84756448cd-wrhhj,proxy,2024-06-07 14:53:20,25.180,10068Ki
oai-udm10-7d8f477b8f-w5hkl,proxy,2024-06-07 14:53:20,37.593,13760Ki
oai-ausf10-584c6d9df6-8rxft,proxy,2024-06-07 14:53:20,16.287,10436Ki
oai-amf10-7cb9bbd7d8-7r7p7,proxy,2024-06-07 14:53:20,26.866,14972Ki
oai-smf10-54c9d9b556-xqlz6,proxy,2024-06-07 14:53:20,42.024,17656Ki
