local connected
0.00-1.00 39.4
1.00-2.00 246
2.00-3.00 223
3.00-4.00 218
4.00-5.00 291
5.00-6.00 153
6.00-7.00 161
7.00-8.00 222
8.00-9.00 210
9.00-10.00 214
10.00-11.00 188
11.00-12.00 50.4
12.00-13.00 295
13.00-14.00 111
14.00-15.00 158
15.00-16.00 330
16.00-17.00 312
17.00-18.00 255
18.00-19.00 246
19.00-20.00 255
0.00-20.00 209
0.00-20.00 208
