local connected
0.00-1.00 218
1.00-2.00 228
2.00-3.00 200
3.00-4.00 209
4.00-5.00 203
5.00-6.00 201
6.00-7.00 168
7.00-8.00 192
8.00-9.00 211
9.00-10.00 78.2
10.00-11.00 243
11.00-12.00 221
12.00-13.00 199
13.00-14.00 276
14.00-15.00 95.7
15.00-16.00 228
16.00-17.00 282
17.00-18.00 184
18.00-19.00 80.2
19.00-20.00 323
0.00-20.00 202
0.00-20.00 201
