local connected
0.00-1.00 959
1.00-2.00 899
2.00-3.00 936
3.00-4.00 980
4.00-5.00 960
5.00-6.00 1.01
6.00-7.00 931
7.00-8.00 989
8.00-9.00 935
9.00-10.00 856
10.00-11.00 1.02
11.00-12.00 996
12.00-13.00 919
13.00-14.00 1.01
14.00-15.00 1000
15.00-16.00 1.01
16.00-17.00 1.06
17.00-18.00 1.03
18.00-19.00 989
19.00-20.00 962
0.00-20.00 973
0.00-20.00 972
