local connected
0.00-1.00 222
1.00-2.00 159
2.00-3.00 198
3.00-4.00 250
4.00-5.00 154
5.00-6.00 234
6.00-7.00 123
7.00-8.00 113
8.00-9.00 134
9.00-10.00 71.2
10.00-11.00 90.5
11.00-12.00 121
12.00-13.00 240
13.00-14.00 152
14.00-15.00 111
15.00-16.00 81.8
16.00-17.00 133
17.00-18.00 219
18.00-19.00 200
19.00-20.00 185
0.00-20.00 159
0.00-20.00 159
